id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2150,99,33,inactive,"SACO LEITOSO P/LIXO 020 LITROS-KG",280.778,,PRÓPRIA,NULL,"EMBALAGENS,SACOS E SACOLAS PLASTICAS,SACOS E SACOLAS PLASTICAS",NULL,NULL,NULL,NULL,17.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,KG,NULL,NULL,NULL,NULL,NULL
2151,99,34,inactive,"PARTY POPPER 30CM UN-POPPER",0,9198318230118,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,17.19,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2152,99,35,inactive,"BOLSA SEMI TERMICA 25 LITROS UN-ICE BAG",-1,7897582501710,TERCEIRO,NULL,"UTENSILIOS,UTENS. DOMESTICOS,UTENS. DOMESTICOS",NULL,NULL,NULL,NULL,80.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2153,99,36,inactive,"FORMA TORTA SUICA FUNDO FALSO 20X8CM UN-FEST FORMA",0,7898372984096,TERCEIRO,NULL,"UTENSILIOS,UTENS. INDUST. / PROFISSIONAL,UTENS. INDUST. / PROFISSIONAL",NULL,NULL,NULL,NULL,17.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2154,99,37,inactive,"CHOCOLATE EM PO 32% PREMIUM C/400GR-MIX",-1,7897011504626,TERCEIRO,,"CONFEITARIA,,ALIMENTICIOS,,CHOCOLATES,,",,,,null,8.99,"{"produtos":[],"subtracaoProduto":{"valorDescontado":0,"precoFinal":8.99},"porcentagemProduto":{"percentualDescontado":0,"precoFinal":8.99},"subtracao":{"valorDescontado":0,"precoFinal":8.99},"porcentagem":{"percentualDescontado":0,"precoFinal":8.99},"levePague":{"valorDescontado":"leve 0 pague 0","precoFinal":8.99}}",null,"{"compraPorPeso":false,"mostrarPeso":false}",0,PT,,undefined,null,NULL,NULL
2155,99,38,inactive,"MINI DOCE REDONDO C/300UN-PRAFESTA",-9,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,47.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2156,99,39,inactive,"LACRE DE PIZZA ETIQUETA ADESIVA 35X100MM 40X480ETIQUETAS",22,,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ DELIVERY,EMB. P/ DELIVERY",NULL,NULL,NULL,NULL,609.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2157,99,40,inactive,"TOUCA TNT DESCARTAVEL 44X50CM C/100UN-LEVISA",60,7898607491030,TERCEIRO,NULL,"HIGIENE E LIMPEZA,DESCARTAVEIS DE LIMPEZA,DESCARTAVEIS DE LIMPEZA",NULL,NULL,NULL,NULL,19.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2158,99,41,inactive,"CHANTILLY 27X200ML-HULALA",0,,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,CHANTILYS",NULL,NULL,NULL,NULL,99.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2159,99,42,inactive,"CHANTILLY CHOCOLATE 27X200ML-HULALA",0,,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,CHANTILYS",NULL,NULL,NULL,NULL,109.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
